"ano_mes_ref","nom_municipio","sgl_uf","macro_regional_ipsemg","micro_regional_ipsemg","bh_rmbh_interior_ipsemg","dsc_sexo","desc_faixa_etaria","qtde_benef"
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","19 - 23 ANOS",9
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","24 - 28 ANOS",13
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","29 - 33 ANOS",18
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","34 - 38 ANOS",8
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","39 - 43 ANOS",16
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","44 - 48 ANOS",15
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","49 - 53 ANOS",14
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","54 - 58 ANOS",14
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Feminino","59+ ANOS",83
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","00 - 18 ANOS",31
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","19 - 23 ANOS",15
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","24 - 28 ANOS",9
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","29 - 33 ANOS",14
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","34 - 38 ANOS",4
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","39 - 43 ANOS",5
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","44 - 48 ANOS",4
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","49 - 53 ANOS",11
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","54 - 58 ANOS",9
"202505","ACUCENA","MG","LESTE","IPATINGA","INTERIOR","Masculino","59+ ANOS",44
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","00 - 18 ANOS",62
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","19 - 23 ANOS",20
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","24 - 28 ANOS",28
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","29 - 33 ANOS",42
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","34 - 38 ANOS",29
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","39 - 43 ANOS",25
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","44 - 48 ANOS",34
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","49 - 53 ANOS",33
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","54 - 58 ANOS",34
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Feminino","59+ ANOS",142
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","00 - 18 ANOS",65
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","19 - 23 ANOS",29
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","24 - 28 ANOS",38
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","29 - 33 ANOS",33
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","34 - 38 ANOS",27
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","39 - 43 ANOS",13
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","44 - 48 ANOS",21
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","49 - 53 ANOS",17
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","54 - 58 ANOS",14
"202505","AGUA BOA","MG","LESTE","SANTA MARIA DO SUACUI","INTERIOR","Masculino","59+ ANOS",96
"202505","AGUA BOA","MT","FORAMG","FORAMG","FORAMG","Feminino","39 - 43 ANOS",1
"202505","AGUA BOA","MT","FORAMG","FORAMG","FORAMG","Feminino","44 - 48 ANOS",1
"202505","AGUA BOA","MT","FORAMG","FORAMG","FORAMG","Masculino","59+ ANOS",1
"202505","AGUA CLARA","MS",NA,NA,"FORAMG","Feminino","59+ ANOS",1
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","00 - 18 ANOS",5
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","19 - 23 ANOS",3
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","24 - 28 ANOS",3
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","29 - 33 ANOS",4
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","34 - 38 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","39 - 43 ANOS",4
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","44 - 48 ANOS",4
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","49 - 53 ANOS",3
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","54 - 58 ANOS",4
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Feminino","59+ ANOS",18
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","00 - 18 ANOS",4
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","19 - 23 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","24 - 28 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","29 - 33 ANOS",3
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","34 - 38 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","39 - 43 ANOS",1
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","49 - 53 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","54 - 58 ANOS",2
"202505","AGUA COMPRIDA","MG","TRIANGULO DO SUL","UBERABA","INTERIOR","Masculino","59+ ANOS",6
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Feminino","00 - 18 ANOS",1
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Feminino","29 - 33 ANOS",1
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Feminino","34 - 38 ANOS",1
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Feminino","59+ ANOS",3
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Masculino","34 - 38 ANOS",1
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Masculino","49 - 53 ANOS",1
"202505","AGUA DOCE DO NORTE","ES","FORAMG","FORAMG","FORAMG","Masculino","59+ ANOS",1
"202505","AGUA FRIA DE GOIAS","GO",NA,NA,"FORAMG","Feminino","59+ ANOS",1
"202505","AGUA FRIA DE GOIAS","GO",NA,NA,"FORAMG","Masculino","59+ ANOS",1
"202505","AGUAI","SP","FORAMG","FORAMG","FORAMG","Feminino","59+ ANOS",1
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","00 - 18 ANOS",11
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","19 - 23 ANOS",5
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","24 - 28 ANOS",3
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","29 - 33 ANOS",4
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","34 - 38 ANOS",4
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","39 - 43 ANOS",9
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","44 - 48 ANOS",8
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","49 - 53 ANOS",8
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","54 - 58 ANOS",7
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Feminino","59+ ANOS",32
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Masculino","00 - 18 ANOS",12
"202505","AGUANIL","MG","OESTE","CAMPO BELO","INTERIOR","Masculino","19 - 23 ANOS",1
