ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202605;ENGENHEIRO CALDAS;MG;LESTE;GOVERNADOR VALADARES;INTERIOR;Masculino;59+ ANOS;36
202603;POTIRENDABA;SP;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202602;SAO JOAO DEL REI;MG;CENTRO SUL;SAO JOAO DEL REI;INTERIOR;Feminino;34 - 38 ANOS;112
202606;CONTAGEM;MG;CENTRO;CONTAGEM;RMBH;Feminino;19 - 23 ANOS;486
202601;VERISSIMO;MG;TRIANGULO DO SUL;UBERABA;INTERIOR;Feminino;19 - 23 ANOS;2
202608;TOCANTINS;MG;SUDESTE;UBA;INTERIOR;Masculino;54 - 58 ANOS;13
202603;NANUQUE;MG;NORDESTE;NANUQUE;INTERIOR;Masculino;00 - 18 ANOS;108
202607;RIO DO PRADO;MG;NORDESTE;ALMENARA;INTERIOR;Feminino;34 - 38 ANOS;9
202601;LASSANCE;MG;NORTE;PIRAPORA;INTERIOR;Masculino;24 - 28 ANOS;4
202605;VIRGEM DA LAPA;MG;NORDESTE;ARACUAI;INTERIOR;Feminino;19 - 23 ANOS;23
202602;ARICANDUVA;MG;NORDESTE;CAPELINHA;INTERIOR;Masculino;29 - 33 ANOS;6
202605;JOAO MONLEVADE;MG;CENTRO;JOAO MONLEVADE;INTERIOR;Masculino;34 - 38 ANOS;37
202607;NILOPOLIS;RJ;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;59+ ANOS;1
202604;LARANJAL;PR;OUTROS_ESTADOS;OUTROS_ESTADOS;OUTROS_ESTADOS;Feminino;44 - 48 ANOS;4
202602;BURITIS;MG;NOROESTE;ARINOS;INTERIOR;Masculino;39 - 43 ANOS;3
202605;ITAPEVA;MG;SUL;EXTREMA;INTERIOR;Feminino;24 - 28 ANOS;3
202604;ITAVERAVA;MG;CENTRO SUL;CONSELHEIRO LAFAIETE;INTERIOR;Masculino;19 - 23 ANOS;4
202601;ITAMONTE;MG;SUL;SAO LOURENCO;INTERIOR;Masculino;34 - 38 ANOS;8
202606;SANTA RITA DE CALDAS;MG;SUL;POCOS DE CALDAS;INTERIOR;Masculino;19 - 23 ANOS;5
202601;INGAI;MG;SUL;LAVRAS;INTERIOR;Feminino;19 - 23 ANOS;2
202603;IPANEMA;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;59+ ANOS;105
