ano_mes_ref;nom_municipio;sgl_uf;macro_regional_ipsemg;micro_regional_ipsemg;bh_rmbh_interior_ipsemg;dsc_sexo;desc_faixa_etaria;qtde_benef
202512;SAO DOMINGOS DAS DORES;MG;LESTE;CARATINGA;INTERIOR;Feminino;44 - 48 ANOS;8
202512;BURITIS;MG;NOROESTE;ARINOS;INTERIOR;Feminino;44 - 48 ANOS;10
202512;PAIVA;MG;CENTRO SUL;BARBACENA;INTERIOR;Masculino;29 - 33 ANOS;5
202512;ELOI MENDES;MG;SUL;VARGINHA;INTERIOR;Masculino;00 - 18 ANOS;17
202512;ITAMARATI DE MINAS;MG;SUDESTE;CATAGUASES;INTERIOR;Masculino;19 - 23 ANOS;5
202512;POCRANE;MG;LESTE DO SUL;MANHUACU;INTERIOR;Feminino;24 - 28 ANOS;14
202512;PEDRA DO ANTA;MG;LESTE DO SUL;VICOSA;INTERIOR;Masculino;54 - 58 ANOS;5
202512;ARINOS;MG;NOROESTE;ARINOS;INTERIOR;Feminino;19 - 23 ANOS;10
202512;ANDRADAS;MG;SUL;POCOS DE CALDAS;INTERIOR;Feminino;44 - 48 ANOS;20
202512;MUTUM;MG;LESTE DO SUL;MANHUACU;INTERIOR;Masculino;19 - 23 ANOS;32
202512;PARAOPEBA;MG;CENTRO;SETE LAGOAS;INTERIOR;Masculino;00 - 18 ANOS;35
202512;JACUTINGA;MG;SUL;OURO FINO;INTERIOR;Masculino;39 - 43 ANOS;2
202512;LADAINHA;MG;NORDESTE;TEOFILO OTONI;INTERIOR;Feminino;00 - 18 ANOS;23
202512;RAUL SOARES;MG;LESTE DO SUL;RAUL SOARES;INTERIOR;Masculino;19 - 23 ANOS;31
202512;CAJURI;MG;LESTE DO SUL;VICOSA;INTERIOR;Feminino;00 - 18 ANOS;2
202512;SANTA LUZIA;MG;CENTRO;SANTA LUZIA;RMBH;Feminino;49 - 53 ANOS;313
202512;CARANDAI;MG;CENTRO SUL;BARBACENA;INTERIOR;Feminino;19 - 23 ANOS;6
